time,x,y,dx,dy,handle,accel,brake,speed,focus,focus_x,focus_y,comment
1600056170.901,7977.94,3547.78,1.0,0.01,0.0,0.0,0.98,0.0,7,767.0,1066.0,AgentPlugin
1600056171.393,7977.94,3547.78,1.0,0.01,0.0,0.0,0.98,0.0,4,815.0,657.0,AgentPlugin
1600056171.9,7977.94,3547.78,1.0,0.01,0.0,0.0,0.98,0.0,1,1102.0,147.0,AgentPlugin
1600056172.401,7977.94,3547.78,1.0,0.01,0.0,0.0,0.98,0.0,1,1091.0,202.0,AgentPlugin
1600056172.897,7977.94,3547.78,1.0,0.01,0.0,0.0,0.98,0.0,1,1091.0,202.0,AgentPlugin
1600056173.395,7977.94,3547.78,1.0,0.01,0.0,0.0,0.98,0.0,1,1091.0,202.0,AgentPlugin
1600056173.906,7977.94,3547.78,1.0,0.01,0.0,0.0,0.98,0.0,1,947.0,106.0,AgentPlugin
1600056174.418,7977.94,3547.78,1.0,0.01,0.0,0.0,0.98,0.0,1,1102.0,97.0,AgentPlugin
1600056174.918,7977.94,3547.78,1.0,0.01,0.0,0.0,0.98,0.0,1,1098.0,118.0,AgentPlugin
1600056175.407,7977.94,3547.78,1.0,0.01,0.0,0.0,0.98,0.0,1,1096.0,356.0,AgentPlugin
1600056175.908,7977.94,3547.78,1.0,0.01,0.0,0.0,0.98,0.0,1,1099.0,318.0,AgentPlugin
1600056176.408,7977.94,3547.78,1.0,0.01,0.0,0.0,0.98,0.0,1,1104.0,320.0,AgentPlugin
1600056176.905,7977.94,3547.78,1.0,0.01,0.0,0.0,0.98,0.0,5,1363.0,718.0,AgentPlugin
1600056177.412,7977.94,3547.78,1.0,0.01,0.0,0.0,0.98,0.0,5,1403.0,477.0,AgentPlugin
1600056177.906,7977.94,3547.78,1.0,0.01,0.0,0.0,0.98,0.0,5,1385.0,490.0,AgentPlugin
1600056178.406,7977.94,3547.78,1.0,0.01,0.0,0.0,0.98,0.0,5,1379.0,487.0,AgentPlugin
1600056178.911,7977.94,3547.78,1.0,0.01,0.0,0.0,0.98,0.0,-1,1267.0,1819.0,AgentPlugin
1600056179.408,7977.94,3547.78,1.0,0.01,0.0,0.0,0.98,0.0,-1,1246.0,2211.0,AgentPlugin
1600056179.909,7977.94,3547.78,1.0,0.01,0.0,0.0,0.98,0.0,-1,1270.0,2230.0,AgentPlugin
1600056180.413,7977.94,3547.78,1.0,0.01,0.0,0.0,0.98,0.0,5,1368.0,518.0,AgentPlugin
1600056180.914,7977.94,3547.78,1.0,0.01,0.0,0.0,0.98,0.0,5,1374.0,434.0,AgentPlugin
1600056181.408,7977.94,3547.78,1.0,0.01,0.0,0.0,0.98,0.0,2,1380.0,345.0,AgentPlugin
1600056181.915,7977.94,3547.78,1.0,0.01,0.0,0.0,0.98,0.0,5,1397.0,609.0,AgentPlugin
1600056182.404,7977.94,3547.78,1.0,0.01,0.0,0.0,0.98,0.0,5,1344.0,708.0,AgentPlugin
1600056182.923,7977.94,3547.78,1.0,0.01,0.0,0.0,0.98,0.0,5,1393.0,484.0,AgentPlugin
1600056183.428,7977.94,3547.78,1.0,0.01,0.0,0.0,0.98,0.0,1,1100.0,305.0,AgentPlugin
1600056183.928,7977.94,3547.78,1.0,0.01,0.0,0.0,0.98,0.0,5,1394.0,714.0,AgentPlugin
1600056184.427,7977.94,3547.78,1.0,0.01,0.0,0.0,0.98,0.0,5,1404.0,564.0,AgentPlugin
1600056184.952,6603.9,3547.01,1.0,0.0,0.0,0.0,0.77,0.0,4,1007.0,586.0,AgentPlugin
1600056185.452,6603.9,3547.01,1.0,0.0,0.0,0.0,0.87,0.0,8,1573.0,931.0,AgentPlugin
1600056185.959,6603.9,3547.01,1.0,0.0,0.0,0.0,0.71,0.0,-1,1548.0,2141.0,AgentPlugin
1600056186.459,6603.9,3547.01,1.0,0.0,0.0,0.0,0.74,0.0,-1,1188.0,2315.0,AgentPlugin
1600056186.953,6603.9,3547.01,1.0,0.0,0.0,0.0,0.73,0.0,-1,1188.0,2315.0,AgentPlugin
1600056187.465,6603.9,3547.01,1.0,0.0,0.0,0.0,0.73,0.0,8,1805.0,745.0,AgentPlugin
1600056187.963,6603.9,3547.01,1.0,0.0,0.0,0.0,0.71,0.0,-1,1744.0,1979.0,AgentPlugin
1600056188.452,6603.9,3547.01,1.0,0.0,0.0,0.0,0.7,0.0,-1,1744.0,1979.0,AgentPlugin
1600056188.969,6603.9,3547.01,1.0,0.0,0.0,0.0,0.7,0.0,-1,1744.0,1979.0,AgentPlugin
1600056189.467,6603.9,3547.01,1.0,0.0,0.0,0.0,0.79,0.0,-1,1744.0,1979.0,AgentPlugin
1600056189.97,6603.9,3547.01,1.0,0.0,0.0,0.0,0.74,0.0,-1,1744.0,1979.0,AgentPlugin
1600056190.468,6603.9,3547.01,1.0,0.0,0.0,0.0,0.66,0.0,4,936.0,701.0,AgentPlugin
1600056190.968,6603.92,3547.01,1.0,0.0,0.0,0.0,0.0,0.71,7,746.0,850.0,AgentPlugin
1600056191.479,6604.15,3547.01,1.0,0.0,0.0,0.0,0.0,2.4,8,1350.0,1003.0,AgentPlugin
1600056191.98,6604.58,3547.01,1.0,0.0,0.0,0.0,0.0,3.92,4,982.0,628.0,AgentPlugin
1600056192.477,6605.23,3547.01,1.0,0.0,0.0,0.14,0.0,5.43,4,851.0,589.0,AgentPlugin
1600056192.974,6606.09,3547.01,1.0,0.0,0.0,0.2,0.0,6.97,4,952.0,703.0,AgentPlugin
1600056193.471,6607.16,3547.01,1.0,0.0,0.0,0.2,0.0,8.47,4,793.0,674.0,AgentPlugin
1600056193.97,6608.44,3547.01,1.0,0.0,0.0,0.36,0.0,10.15,4,984.0,563.0,AgentPlugin
1600056194.469,6610.0,3547.01,1.0,0.0,0.0,0.36,0.0,12.51,4,986.0,599.0,AgentPlugin
1600056194.969,6611.9,3547.01,1.0,0.0,0.0,0.33,0.0,14.82,4,943.0,590.0,AgentPlugin
1600056195.475,6614.13,3547.01,1.0,0.0,0.0,0.41,0.0,16.96,4,913.0,578.0,AgentPlugin
1600056195.975,6616.65,3547.01,1.0,0.0,0.0,0.42,0.0,19.26,4,958.0,571.0,AgentPlugin
1600056196.473,6619.49,3547.01,1.0,0.0,0.0,0.46,0.0,21.63,8,1668.0,933.0,AgentPlugin
1600056196.975,6622.68,3547.01,1.0,0.0,0.0,0.46,0.0,24.15,8,1651.0,929.0,AgentPlugin
1600056197.47,6626.11,3547.02,1.0,0.0,0.0,0.46,0.0,26.54,4,935.0,560.0,AgentPlugin
1600056197.969,6630.01,3547.02,1.0,0.0,0.0,0.44,0.0,28.9,4,974.0,518.0,AgentPlugin
1600056198.469,6634.11,3547.02,1.0,0.0,0.0,0.42,0.0,31.03,4,912.0,562.0,AgentPlugin
1600056198.981,6638.75,3547.03,1.0,0.0,0.0,0.42,0.0,33.2,4,944.0,549.0,AgentPlugin
1600056199.469,6643.33,3547.03,1.0,0.0,0.0,0.42,0.0,35.19,4,948.0,555.0,AgentPlugin
1600056199.979,6648.5,3547.04,1.0,0.0,0.0,0.42,0.0,37.3,4,952.0,552.0,AgentPlugin
1600056200.48,6653.85,3547.05,1.0,0.0,0.0,0.41,0.0,39.29,8,1672.0,885.0,AgentPlugin
1600056200.969,6659.24,3547.06,1.0,0.0,0.0,0.41,0.0,41.29,4,944.0,546.0,AgentPlugin
1600056201.474,6665.37,3547.07,1.0,0.0,0.0,0.41,0.0,44.12,4,956.0,549.0,AgentPlugin
1600056201.97,6671.53,3547.09,1.0,0.0,0.0,0.41,0.0,45.2,4,969.0,558.0,AgentPlugin
1600056202.467,6677.82,3547.1,1.0,0.0,0.0,0.35,0.0,46.17,4,963.0,553.0,AgentPlugin
1600056202.967,6684.22,3547.12,1.0,0.0,0.0,0.35,0.0,46.96,4,928.0,544.0,AgentPlugin
1600056203.483,6691.09,3547.13,1.0,0.0,0.0,0.35,0.0,47.77,4,964.0,548.0,AgentPlugin
1600056203.985,6697.76,3547.15,1.0,0.0,0.0,0.35,0.0,48.53,4,955.0,535.0,AgentPlugin
1600056204.492,6704.68,3547.17,1.0,0.0,0.0,0.35,0.0,49.3,4,1343.0,771.0,AgentPlugin
1600056204.985,6711.38,3547.18,1.0,0.0,0.0,0.35,0.0,50.02,4,1131.0,585.0,AgentPlugin
1600056205.497,6718.65,3547.2,1.0,0.0,0.0,0.35,0.0,50.79,4,967.0,550.0,AgentPlugin
1600056205.983,6725.51,3547.21,1.0,0.0,0.0,0.35,0.0,51.5,7,984.0,740.0,AgentPlugin
1600056206.506,6733.09,3547.23,1.0,0.0,0.0,0.36,0.0,52.26,4,951.0,535.0,AgentPlugin
1600056206.999,6740.27,3547.25,1.0,0.0,0.0,0.4,0.0,53.07,4,965.0,538.0,AgentPlugin
1600056207.506,6747.82,3547.27,1.0,0.0,0.0,0.0,0.0,54.08,4,966.0,550.0,AgentPlugin
1600056207.999,6755.34,3547.28,1.0,0.0,0.0,0.0,0.0,54.42,4,966.0,559.0,AgentPlugin
1600056208.527,6763.25,3547.3,1.0,0.0,0.0,0.0,0.0,53.96,4,954.0,538.0,AgentPlugin
1600056209.028,6770.73,3547.32,1.0,0.0,0.0,0.49,0.0,53.41,4,942.0,565.0,AgentPlugin
1600056209.537,6778.25,3547.34,1.0,0.0,0.0,0.49,0.0,53.74,8,1604.0,879.0,AgentPlugin
1600056210.034,6785.58,3547.35,1.0,0.0,0.0,0.49,0.0,54.94,8,1649.0,893.0,AgentPlugin
1600056210.529,6793.35,3547.37,1.0,0.0,0.0,0.49,0.0,56.17,4,941.0,564.0,AgentPlugin
1600056211.036,6801.4,3547.39,1.0,0.0,0.0,0.49,0.0,57.4,4,963.0,562.0,AgentPlugin
1600056211.55,6809.68,3547.41,1.0,0.0,0.0,0.49,0.0,58.61,8,1617.0,891.0,AgentPlugin
1600056212.047,6817.85,3547.43,1.0,0.0,0.0,0.48,0.0,59.75,8,1683.0,883.0,AgentPlugin
