time,x,y,dx,dy,handle,accel,brake,speed,focus,focus_x,focus_y,comment
1574663188.093,7974.0,3546.91,1.0,0.0,0.0,0.0,0.0,13.1,6,556.0,953.0,AgentPlugin
1574663188.59,7974.0,3546.91,1.0,0.0,0.0,0.0,0.0,13.1,4,848.0,582.0,AgentPlugin
1574663189.084,7974.0,3546.91,1.0,0.0,0.0,0.0,0.0,13.1,4,978.0,537.0,AgentPlugin
1574663189.581,7974.0,3546.91,1.0,0.0,0.0,0.0,0.0,13.1,1,1067.0,153.0,AgentPlugin
1574663190.091,7974.0,3546.91,1.0,0.0,0.0,0.0,0.0,13.1,1,1114.0,234.0,AgentPlugin
1574663190.587,7974.0,3546.91,1.0,0.0,0.0,0.0,0.0,13.1,4,776.0,405.0,AgentPlugin
1574663191.082,7974.0,3546.91,1.0,0.0,0.0,0.0,0.0,13.1,4,768.0,424.0,AgentPlugin
1574663191.582,7974.0,3546.91,1.0,0.0,0.0,0.0,0.0,13.1,4,768.0,402.0,AgentPlugin
1574663192.083,7974.0,3546.91,1.0,0.0,0.0,0.0,0.0,13.1,4,1070.0,553.0,AgentPlugin
1574663192.581,7974.0,3546.91,1.0,0.0,0.0,0.0,0.0,13.1,4,1061.0,504.0,AgentPlugin
1574663193.082,7974.0,3546.91,1.0,0.0,0.0,0.0,0.0,13.1,4,1072.0,517.0,AgentPlugin
1574663193.589,7974.0,3546.91,1.0,0.0,0.0,0.0,0.0,13.1,4,1097.0,585.0,AgentPlugin
1574663194.09,7974.0,3546.91,1.0,0.0,0.0,0.0,0.0,13.1,4,1064.0,486.0,AgentPlugin
1574663194.605,7974.0,3546.91,1.0,0.0,0.0,0.0,0.0,13.1,4,1063.0,528.0,AgentPlugin
1574663195.106,7974.0,3546.91,1.0,0.0,0.0,0.0,0.0,13.1,4,1048.0,515.0,AgentPlugin
1574663195.602,7974.0,3546.91,1.0,0.0,0.0,0.0,0.0,13.1,4,1059.0,523.0,AgentPlugin
1574663196.106,7974.0,3546.91,1.0,0.0,0.0,0.0,0.0,13.1,4,1057.0,513.0,AgentPlugin
1574663196.608,7974.0,3546.91,1.0,0.0,0.0,0.0,0.0,13.1,4,1056.0,520.0,AgentPlugin
1574663197.107,7974.0,3546.91,1.0,0.0,0.0,0.0,0.0,13.1,4,1072.0,507.0,AgentPlugin
1574663197.605,7974.0,3546.91,1.0,0.0,0.0,0.0,0.0,13.1,4,1057.0,544.0,AgentPlugin
1574663198.103,7974.0,3546.91,1.0,0.0,0.0,0.0,0.0,13.1,4,1099.0,578.0,AgentPlugin
1574663198.611,7974.0,3546.91,1.0,0.0,0.0,0.0,0.0,13.1,4,1067.0,529.0,AgentPlugin
1574663199.191,6603.97,3547.01,1.0,0.0,0.0,0.0,0.0,1.14,4,1041.0,537.0,AgentPlugin
1574663199.695,6604.21,3547.01,1.0,0.0,0.0,0.0,0.0,2.35,7,1019.0,931.0,AgentPlugin
1574663200.191,6604.62,3547.01,1.0,0.0,0.0,0.0,0.0,3.5,4,959.0,572.0,AgentPlugin
1574663200.699,6605.19,3547.01,1.0,0.0,0.0,0.0,0.0,4.62,4,1015.0,566.0,AgentPlugin
